market_id,market_type,market_name,address1,city,state,zip_code,latitude,longitude,phone,phone_ext,county
21,Farm Stand,Beccari's Farm Market,5095 Thomas Run Road,Oakdale,PA,15071,40.3753878,-80.1353771,4122218768,,Allegheny
51,Farm Market,Carrick Citiparks Farmers Market,1529 Brownsville Road,Pittsburgh,PA,15210,40.3913414,-79.986603,4124226547,,Allegheny
90,Farm Market,East Liberty Farmers Market,N Euclid Ave & Broad St,Pittsburgh,PA,15026,40.4707688,-79.9228625,,,Allegheny
92,Farm Stand,Eichner's Farm Market & Greenhouses,285 Richard Road,Wexford,PA,15090,40.608589,-80.061099,7249352131,,Allegheny
207,Farm Market,Monroeville FM,2399 Tillbrook Rd,Monroeville,PA,15146,40.4183624,-79.763612,7245388621,,Allegheny
227,Farm Market,Pgh Original Night Farmers Market,151 Park Road,McDonald,PA,15057,40.3712883,-80.2263223,,,Allegheny
3783,Farm Stand,Green Grocer / Duquesne,35 Grant Avenue,Duquesne,PA,15110,40.373303,-79.845428,,,Allegheny
3686,Farm Stand,Green Grocer/Monview Heights,48 Midway Dr,West Mifflin,PA,15122,40.398001,-79.8807121,,,Allegheny
3687,Farm Stand,Green Grocer/Wilmerding Apt,314 Commerce St,Wilmerding,PA,15148,40.3927482,-79.8076205,,,Allegheny
3688,Farm Stand,Green Grocer/UPMC Matilda Theiss Health Center,373 Burrows St,Pittsburgh,PA,15213,40.442058,-79.9703999,,,Allegheny
3736,Farm Market,Wilkinsburg Farmers Market,700 Penn Ave,Wilkinsburg,PA,15221,40.4435039,-79.8846689,,,Allegheny
3753,Farm Market,Hampton Farmers Market,3101 McCully Rd,Allison Park,PA,15101,40.582594,-79.934791,,,Allegheny
3782,Farm Stand,Green Grocer /Northview Heights,533 Mt Pleasant Rd,Pittsburgh,PA,15214,40.47767,-79.999793,,,Allegheny
3671,Farm Stand,Renzie Market,Tulip Drive,McKeesport,PA,15132,40.3398434,-79.8289475,,,Allegheny
3677,Farm Market,Carnegie Farmers Market,Mary & E Main Streets,Carnegie,PA,15106,40.4254803,-80.1408716,,,Allegheny
3682,Farm Stand,Green Grocer/Lincoln Lemington Belmer,1433 Lincoln Ave ,Pittsburgh,PA,15206,40.468759,-79.896524,,,Allegheny
3683,Farm Stand,Green Grocer/Sharpsburg Community Library,1212 Main Street,Pittsburgh,PA,15215,40.4943319,-79.9302022,,,Allegheny
3684,Farm Stand,Green Grocer/Old Shop n' Save Building,1850 Centre Ave,Pittsburgh,PA,15219,40.4427415,-79.9819169,,,Allegheny
3685,Farm Stand,Green Grocer/Pavillion,Hillsboro St & Sheaden Blvd,Pittsburgh,PA,15204,40.4521866,-80.0584173,,,Allegheny
3514,Farm Stand,Decarlo's Market,560 MCKeesport Rd,Elizabeth,PA,15037,40.278307,-79.8755899,,,Allegheny
3515,Farm Stand,Renzie Market,2200 Eden Park Blvd,McKeesport,PA,15132,40.3404079,-79.8272895,,,Allegheny
3619,Farm Market,Plum Boro,Ross Hollow Road,Pittsburgh,PA,15239,40.5087687,-79.748435,,,Allegheny
3636,Farm Stand,Garfield Farm Stand,509 Wicklow Street,Pittsburgh,PA,15224,40.4688884,-79.9350143,,,Allegheny
3643,Farm Market,St James Church,200 Walnut St,Sewickley,PA,15143,,,,,Allegheny
3666,Farm Market,Lawrenceville Farmers Market,250 40th Street,Lawrenceville,PA,15201,40.4674864,-79.9609184,4128027220,,Allegheny
3445,Farm Stand,Green Grocer/East Hills Community Center,2291 Wilner Drive,Pittsburgh,PA,15221,,,,,Allegheny
3446,Farm Stand,Green Grocer/Wilerding Apartments,314 Commerce St,Wilmerding,PA,15148,40.392952,-79.807811,,,Allegheny
3479,Farm Stand,Pittsbugh Urban Graden project,1612 Steuben Street,Crafton,PA,15205,40.443894,-80.05627,,,Allegheny
